pričvršćena	pričvrstiti	Appfsny
,	,	Z
te	te	Cc
nakon	nakon	Sg
toga	taj	Pd-nsg
ukloniti	ukloniti	Vmn
s	sa	Si
tim	taj	Pd-nsi
da	da	Cs
se	sebe	Px--sa
vreća	vreća	Ncfsn
prethodno	prethodno	Rgp
zatvori	zatvoriti	Vmr3s
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
sadržaj	sadržaj	Ncmsn
izolirao	izolirati	Vmp-sm
.	.	Z

Veličina	veličina	Ncfsn
otvora	otvor	Ncmpg
treba	trebati	Vmr3s
biti	biti	Van
takva	takav	Pd-fsn
da	da	Cs
se	sebe	Px--sa
smjesti	smjestiti	Vmr3s
planirani	planiran	Agpmsny
otpad	otpad	Ncmsn
,	,	Z
što	što	Pi3n-n
može	moći	Vmr3s
uključivati	uključivati	Vmn
opremu	oprema	Ncfsa
koju	koji	Pi-fsa
je	biti	Var3s
potrebno	potreban	Agpnsny
zamijeniti	zamijeniti	Vmn
.	.	Z

Filteri	filter	Ncmpn
iz	iz	Sg
digestora	digestor	Ncmsg
i	i	Cc
ventilacijski	ventilacijski	Agpmsayn
sustav	sustav	Ncmsan
trebaju	trebati	Vmr3p
imati	imati	Vmn
projektirane	projektirati	Agpfpay
značajke	značajka	Ncfpa
.	.	Z

U	u	Sl
svim	sav	Agpmply
slučajevima	slučaj	Ncmpl
,	,	Z
sustavi	sustav	Ncmpn
trebaju	trebati	Vmr3p
osigurati	osigurati	Vmn
izolaciju	izolacija	Ncfsa
,	,	Z
kontrolu	kontrola	Ncfsa
kritičnosti	kritičnost	Ncfsg
(	(	Z
ako	ako	Cs
je	biti	Var3s
potrebno	potreban	Agpnsny
)	)	Z
i	i	Cc
kontrolu	kontrola	Ncfsa
doza	doza	Ncfpg
operatera	operater	Ncmpg
.	.	Z

Prikupljanje	prikupljanje	Ncnsn
otpada	otpad	Ncmsg

(	(	Z
2	2	Mdc
)	)	Z
Projektom	projekt	Ncmsi
je	biti	Var3s
potrebno	potreban	Agpnsny
osigurati	osigurati	Vmn
prikupljanje	prikupljanje	Ncnsa
i	i	Cc
prijevoz	prijevoz	Ncmsan
otpada	otpad	Ncmsg
u	u	Sl
kontejnerima	kontejner	Ncmpl
koji	koji	Pi-mpn
će	htjeti	Var3p
pružiti	pružiti	Vmn
dodatnu	dodatan	Agpfsay
razinu	razina	Ncfsa
zadržavanja	zadržavanje	Ncnsg
.	.	Z

Pozornost	pozornost	Ncfsn
je	biti	Var3s
potrebno	potreban	Agpnsny
usmjeriti	usmjeriti	Vmn
na	na	Sa
kontrolu	kontrola	Ncfsa
kritičnosti	kritičnost	Ncfsg
,	,	Z
ako	ako	Cs
je	biti	Var3s
potrebno	potreban	Agpnsny
,	,	Z
i	i	Cc
izloženost	izloženost	Ncfsn
ionizirajućem	ionizirajući	Agpnsly
zračenju	zračenje	Ncnsl
operatera	operater	Ncmpg
,	,	Z
kada	kada	Cs
je	biti	Var3s
prikupljeno	prikupiti	Appnsny
više	mnogo	Rgc
vreća	vreća	Ncfpg
otpada	otpadati	Vmr3s
.	.	Z

Privremeno	privremen	Agpnsny
skladištenje	skladištenje	Ncnsn
otpada	otpad	Ncmsg

(	(	Z
3	3	Mdc
)	)	Z
Skladište	skladište	Ncnsn
treba	trebati	Vmr3s
biti	biti	Van
projektirano	projektirati	Appnsny
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
osigurala	osigurati	Vmp-sf
kontrola	kontrola	Ncfsn
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
kritičnost	kritičnost	Ncfsa
,	,	Z
ako	ako	Cs
je	biti	Var3s
potrebno	potreban	Agpnsny
,	,	Z
kontrola	kontrola	Ncfsn
izolacije	izolacija	Ncfsg
i	i	Cc
kontrola	kontrola	Ncfsn
izloženosti	izloženost	Ncfpg
ionizirajućem	ionizirajući	Agpnsly
