pirazolom	pirazol	Ncmsi
,	,	Z
imidazolom	imidazol	Ncmsi
,	,	Z
benzimidazolom	benzimidazol	Ncmsi
ili	ili	Cc
pirazolo	pirazoti	Vmp-sn
[	[	Z
3,4-b	3,4-i	Agpnsny
]	]	Z
piridinom	piridina	Ncfsi
,	,	Z
bez	bez	Sg
obzira	obzir	Ncmsg
na	na	Sa
mjesto	mjesto	Ncnsa
supstitucije	supstitucija	Ncfsg
na	na	Sl
peteročlanom	peteročlan	Agpmsly
prstenu	prsten	Ncmsl
,	,	Z
i	i	Cc
bez	bez	Sg
obzira	obzir	Ncmsg
na	na	Sa
to	taj	Pd-nsa
je	biti	Var3s
li	li	Qq
ili	ili	Cc
nije	biti	Var3s
indolska	indolska	Ncfsn
ili	ili	Cc
zamijenjena	zamijeniti	Appfsny
indolska	indolski	Agpfsny
osnova	osnova	Ncfsn
dodatno	dodatno	Rgp
supstituirana	supstituirati	Appfsny
s	sa	Si
jednim	jedan	Mlcmsi
ili	ili	Cc
više	mnogo	Rgc
supstituenata	supstituent	Ncmpg
iz	iz	Sg
skupine	skupina	Ncfsg
koju	koji	Pi-fsa
čine	činiti	Vmr3p
alkil	alkil	Ncmsan
,	,	Z
aril	aril	Cc
,	,	Z
halogenalkil	halogenalki	Ncmsl
,	,	Z
halogenaril	halogenari	Ncmsl
,	,	Z
halogen	halogen	Agpmsnn
,	,	Z
alkiloksi	alkiloks	Ncmpn
,	,	Z
nitro	nitro	Agpnsny
i	i	Cc
amino	amino	Agpmpgy
;	;	Z
•	•	Z
zamjenom	zamjena	Ncfsi
pentilne	pentilan	Agpfsgy
skupine	skupina	Ncfsg
alkilnom	alkilni	Agpfsiy
,	,	Z
halogenalkilnom	halogenalkilan	Agpmsly
,	,	Z
cijanoalkilnom	cijanoalkilno	Ncnsi
,	,	Z
alkenilnom	alkenilno	Ncnsi
,	,	Z
benzilnom	benzilna	Ncfsi
,	,	Z
halogeniranom	halogeniran	Agpfsiy
benzilnom	benzilna	Ncfsi
,	,	Z
