iznimnim	izniman	Agpfpiy
okolnostima	okolnost	Ncfpi
.	.	Z

Prema	prema	Sl
stavku	stavak	Ncmsl
3.	3.	Mdo
članka	članak	Ncmsg
20.	20.	Mdo

ZEK-a	ZEK	Npmsg
u	u	Sl
postupku	postupak	Ncmsl
rješavanja	rješavanje	Ncnsg
spora	spor	Ncmsg
Agencija	agencija	Ncfsn
donosi	donositi	Vmr3s
odluke	odluka	Ncfpa
kojima	koji	Pi-fpi
se	sebe	Px--sa
ostvaruju	ostvarivati	Vmr3p
regulatorna	regulatoran	Agpnpny
načela	načelo	Ncnpn
i	i	Cc
ciljevi	cilj	Ncmpn
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
tog	taj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
te	te	Cc
se	sebe	Px--sa
svaka	svaki	Pi-fsn
obveza	obveza	Ncfsn
koju	koji	Pi-fsa
Agencija	agencija	Ncfsn
određuje	određivati	Vmr3s
operatoru	operator	Ncmsl
mora	morati	Vmr3s
temeljiti	temeljiti	Vmn
na	na	Sl
odredbama	odredba	Ncfpl
ovog	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Prema	prema	Sl
stavku	stavak	Ncmsl
5.	5.	Mdo
članka	članak	Ncmsg
20.	20.	Mdo

ZEK-a	ZEK	Npmsg
,	,	Z
postupak	postupak	Ncmsn
rješavanja	rješavanje	Ncnsg
spora	spor	Ncmsg
ne	ne	Qz
isključuje	isključivati	Vmr3s
pravo	pravo	Ncnsa
bilo	bilo	Qo
koje	koji	Pi-fsg
stranke	stranka	Ncfsg
u	u	Sl
sporu	spor	Ncmsl
na	na	Sa
pokretanje	pokretanje	Ncnsa
sudskog	sudski	Agpmsgy
postupka	postupak	Ncmsg
pred	pred	Si
nadležnim	nadležan	Agpmsiy
sudom	sud	Ncmsi
.	.	Z

Odredbom	odredba	Ncfsi
članka	članak	Ncmsg
5.	5.	Mdo
ZEK-a	ZEK	Npmsg
na	na	Sa
koju	koji	Pi-fsa
upućuje	upućivati	Vmr3s
članak	članak	Ncmsan
20.	20.	Mdo
stavak	stavak	Ncmsn
3.	3.	Mdo
ZEK-a	ZEK	Npmsg
propisani	propisati	Appmpny
su	biti	Var3p
načela	načelo	Ncnpn
i	i	Cc
regulatorni	regulatoran	Agpmpny
ciljevi	cilj	Ncmpn
za	za	Sa
koje	koji	Pi-mpa
je	biti	Var3s
osnovana	osnovati	Appfsny
Agencija	agencija	Ncfsn
,	,	Z
pa	pa	Cc
među	među	Si
ostalim	ostali	Agpmpiy
,	,	Z
da	da	Cs
se	sebe	Px--sa
obavljanje	obavljanje	Ncnsn
regulatornih	regulatoran	Agpmpgy
poslova	posao	Ncmpg
osigurava	osiguravati	Vmr3s
kroz	kroz	Sa
poduzimanje	poduzimanje	Ncnsa
mjera	mjera	Ncfpg
,	,	Z
primjenjujući	primjenjivati	Rr
načelo	načelo	Ncnsa
objektivnosti	objektivnost	Ncfsg
,	,	Z
transparentnosti	transparentnost	Ncfsg
,	,	Z
nediskriminacije	nediskriminacija	Ncfsg
i	i	Cc
razmjernosti	razmjernost	Ncfsg
i	i	Cc
to	taj	Pd-nsn
osobito	osobito	Rgp
promicanjem	promicanje	Ncnsi
regulatorne	regulatoran	Agpfsgy
predvidljivosti	predvidljivost	Ncfsg
,	,	Z
