postaju	postati	Vmr3p
svi	sav	Agpmpny
rezidenti	rezident	Ncmpn
koje	koji	Pi-mpa
Hrvatska	Hrvatska	Npfsn
narodna	narodni	Agpfsny
banka	banka	Ncfsn
nije	biti	Var3s
odabrala	odabrati	Vmp-sf
u	u	Sa
uzorak	uzorak	Ncmsan
,	,	Z
ali	ali	Cc
su	biti	Var3p
tijekom	tijekom	Sg
mjeseca	mjesec	Ncmsg
obavili	obaviti	Vmp-pm
neki	neki	Pi-mpn
od	od	Sg
poslova	posao	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
88.	88.	Mdo
b	b	Ncfsg
ove	ovaj	Pd-fsg
Odluke	odluka	Ncfsg
u	u	Sl
vrijednosti	vrijednost	Ncfsl
većoj	velik	Agcfsly
od	od	Sg
500	500	Mdc
000	000	Mdc
kn	KN	Y
.	.	Z

Nakon	nakon	Cs
što	što	Cs
se	sebe	Px--sa
to	taj	Pd-nsn
dogodi	dogoditi	Vmr3s
,	,	Z
obveza	obveza	Ncfsn
dostave	dostava	Ncfsg
obrasca	obrazac	Ncmsg
postoji	postojati	Vmr3s
do	do	Sg
dana	dan	Ncmsg
dostave	dostava	Ncfsg
obavijesti	obavijest	Ncfsg
Hrvatske	hrvatski	Agpfsgy
narodne	narodni	Agpfsgy
banke	banka	Ncfsg
o	o	Sl
isključenju	isključenje	Ncnsl
iz	iz	Sg
uzorka	uzorak	Ncmsg
.	.	Z
«	«	Z

Članak	članak	Ncmsn
18.	18.	Mdo

U	u	Sl
članku	članak	Ncmsl
91.	91.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
kratica	kratica	Ncfsn
»	»	Z
PU-UDP	pu-ud	Ncmsv
«	«	Z
briše	brisati	Vmr3s
se	sebe	Px--sa
.	.	Z

Članak	članak	Ncmsn
19.	19.	Mdo

U	u	Sl
članku	članak	Ncmsl
91.	91.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
kratice	kratica	Ncfsg
»	»	Z
IU-MI	iu-mi	Agpmpny
«	«	Z
i	i	Cc
»	»	Z
PU-MI	pu-mi	Agpmpny
«	«	Z
brišu	brisati	Vmr3p
se	sebe	Px--sa
.	.	Z

Članak	članak	Ncmsn
20.	20.	Mdo

Uputa	uputa	Ncfsn
za	za	Sa
sastavljanje	sastavljanje	Ncnsa
izvješća	izvješće	Ncnsg
propisanih	propisati	Appnpgy
Odlukom	odluka	Ncfsi
o	o	Sl
prikupljanju	prikupljanje	Ncnsl
podataka	podatak	Ncmpg
za	za	Sa
potrebe	potreba	Ncfpa
sastavljanja	sastavljanje	Ncnsg
platne	platni	Agpfsgy
bilance	bilanca	Ncfsg
,	,	Z
stanja	stanje	Ncnsg
inozemnog	inozeman	Agpmsgy
duga	dug	Ncmsg
i	i	Cc
stanja	stanje	Ncnsg
međunarodnih	međunarodni	Agpnpgy
ulaganja	ulaganje	Ncnpg
koja	koji	Pi-npn
se	sebe	Px--sa
Hrvatskoj	Hrvatska	Npfsd
narodnoj	narodni	Agpfsly
banci	banka	Ncfsl
dostavljaju	dostavljati	Vmr3p
u	u	Sl
papirnatom	papirnat	Agpmsly
obliku	oblik	Ncmsl
,	,	Z
a	a	Cc
koja	koji	Pi-fsn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
Odluke	odluka	Ncfsg
o	o	Sl
prikupljanju	prikupljanje	Ncnsl
podataka	podatak	Ncmpg
za	za	Sa
potrebe	potreba	Ncfpa
sastavljanja	sastavljanje	Ncnsg
platne	platni	Agpfsgy
bilance	bilanca	Ncfsg
,	,	Z
stanja	stanje	Ncnsg
inozemnog	inozeman	Agpmsgy
duga	dug	Ncmsg
i	i	Cc
stanja	stanje	Ncnsg
međunarodnih	međunarodni	Agpnpgy
ulaganja	ulaganje	Ncnpg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
103/2012	103/2012	Mdc
i	i	Cc
10/2014	10/2014	Mdc
)	)	Z
zamjenjuje	zamjenjivati	Vmr3s
se	sebe	Px--sa
Uputom	uputa	Ncfsi
za	za	Sa
sastavljanje	sastavljanje	Ncnsa
izvješća	izvješće	Ncnsg
propisanih	propisati	Appnpgy
Odlukom	odluka	Ncfsi
o	o	Sl
prikupljanju	prikupljanje	Ncnsl
podataka	podatak	Ncmpg
za	za	Sa
potrebe	potreba	Ncfpa
sastavljanja	sastavljanje	Ncnsg
platne	platni	Agpfsgy
bilance	bilanca	Ncfsg
,	,	Z
stanja	stanje	Ncnsg
inozemnog	inozeman	Agpmsgy
duga	dug	Ncmsg
i	i	Cc
stanja	stanje	Ncnsg
