ga	on	Pp3msa
s	sa	Si
djelom	djelo	Ncnsi
koje	koji	Pi-mpa
čini	činiti	Vmr3s
prekršaj	prekršaj	Ncmsan
,	,	Z
odnosno	odnosno	Rgp
utvrdit	utvrditi	Vmn
će	htjeti	Var3s
koji	koji	Pi-msn
bi	biti	Vaa3s
od	od	Sg
pravnih	pravni	Agpmpgy
sljednika	sljednik	Ncmpg
uopće	uopće	Rgp
mogao	moći	Vmp-sm
izvršiti	izvršiti	Vmn
takvu	takav	Pd-fsa
radnju	radnja	Ncfsa
ili	ili	Cc
propust	propust	Ncmsan
,	,	Z
pa	pa	Cc
se	sebe	Px--sa
odluka	odluka	Ncfsn
suda	sud	Ncmsg
u	u	Sl
tom	taj	Pd-msl
smislu	smisao	Ncmsl
ne	ne	Qz
može	moći	Vmr3s
tumačiti	tumačiti	Vmn
kao	kao	Cs
diskreciona	diskrecioni	Agpfsny
.	.	Z

Pritom	pritom	Rgp
sud	sud	Ncmsn
ne	ne	Qz
zauzima	zauzimati	Vmr3s
položaj	položaj	Ncmsan
tužitelja	tužitelj	Ncmsg
,	,	Z
jer	jer	Cs
je	biti	Var3s
ovlašteni	ovlašten	Agpmsny
tužitelj	tužitelj	Ncmsn
pokrenuo	pokrenuti	Vmp-sm
postupak	postupak	Ncmsan
protiv	protiv	Sg
točno	točno	Rgp
određenog	određen	Agpmsgy
okrivljenika	okrivljenik	Ncmsg
,	,	Z
a	a	Cc
pravni	pravni	Agpmsny
sljednik	sljednik	Ncmsn
je	biti	Var3s
sljednik	sljednik	Ncmsn
točno	točno	Rgp
tog	taj	Pd-msg
okrivljenika	okrivljenik	Ncmsg
,	,	Z
a	a	Cc
ne	ne	Qz
nekog	neki	Pi-msg
drugog	drugi	Mlomsg
.	.	Z
«	«	Z

8.3.	8.3.	Mdo

Predlagatelj	predlagatelj	Ncmsn
ni	ni	Qo
u	u	Sl
ovom	ovaj	Pd-msl
dijelu	dio	Ncmsl
prijedloga	prijedlog	Ncmsg
nije	biti	Var3s
naveo	navesti	Vmp-sm
ustavnopravno	ustavnopravno	Rgp
relevantne	relevantan	Agpmpay
razloge	razlog	Ncmpa
zbog	zbog	Sg
kojih	koji	Pi-mpg
osporava	osporavati	Vmr3s
suglasnost	suglasnost	Ncfsn
članka	članak	Ncmsg
59.	59.	Mdo

PZ-a	PZ	Npmsg
s	sa	Si
Ustavom	ustav	Ncmsi
.	.	Z

Legitimni	legitiman	Agpmsny
cilj	cilj	Ncmsn
članka	članak	Ncmsg
59.	59.	Mdo

PZ-a	pz-a	Ncfsn
je	biti	Var3s
utvrđivanje	utvrđivanje	Ncnsn
prekršajne	prekršajni	Agpfsgy
odgovornosti	odgovornost	Ncfsg
pravnih	pravni	Agpfpgy
osoba	osoba	Ncfpg
i	i	Cc
odgovornih	odgovoran	Agpfpgy
osoba	osoba	Ncfpg
u	u	Sl
pravnim	pravni	Agpfply
osobama	osoba	Ncfpl
.	.	Z

Da	da	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
takav	takav	Pd-msn
cilj	cilj	Ncmsn
mogao	moći	Vmp-sm
provesti	provesti	Vmn
nužno	nužno	Rgp
je	biti	Var3s
prethodno	prethodno	Rgp
utvrditi	utvrditi	Vmn
zakonske	zakonski	Agpfpay
pretpostavke	pretpostavka	Ncfpa
za	za	Sa
njegovo	njegov	Ps3nsa
ostvarivanje	ostvarivanje	Ncnsa
u	u	Sl
sudskom	sudski	Agpmsly
postupku	postupak	Ncmsl
.	.	Z

Prema	prema	Sl
ocjeni	ocjena	Ncfsl
Ustavnog	ustavan	Agpmsgy
suda	sud	Ncmsg
,	,	Z
članak	članak	Ncmsn
59.	59.	Mdo
stavci	stavak	Ncmpn
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
PZ-a	PZ	Npmsg
isključuju	isključivati	Vmr3p
diskrecijsko	diskrecijski	Agpnsny
sudsko	sudski	Agpnsay
tumačenje	tumačenje	Ncnsa
.	.	Z

Riječ	riječ	Ncfsn
je	biti	Var3s
o	o	Sl
zakonskim	zakonski	Agpfply
odredbama	odredba	Ncfpl
koje	koji	Pi-fpn
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
svojim	svoj	Px-msi
ustavnim	ustavan	Agpmsiy
i	i	Cc
zakonskim	zakonski	Agpnply
ovlaštenjima	ovlaštenje	Ncnpl
tumači	tumačiti	Vmr3s
,	,	Z
primjenjuje	primjenjivati	Vmr3s
i	i	Cc
procjenjuje	procjenjivati	Vmr3s
njihove	njihov	Ncmpa
učinke	učinak	Ncmpa
isključivo	isključivo	Rgp
nadležni	nadležan	Agpmsny
sud	sud	Ncmsn
koji	koji	Pi-msn
sam	biti	Var1s
odlučuje	odlučivati	Vmr3s
koje	koji	Pi-fpn
će	htjeti	Var3p
činjenice	činjenica	Ncfpn
uzeti	uzeti	Vmn
kao	kao	Cs
dokazane	dokazati	Appfpny
.	.	Z

To	taj	Pd-nsn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
i	i	Qo
na	na	Sa
sudski	sudski	Agpmsayn
postupak	postupak	Ncmsan
utvrđivanja	utvrđivanje	Ncnsg
pravnog	pravni	Agpnsgy
sljedništva	sljedništvo	Ncnsg
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
prestala	prestati	Vmp-sf
postojati	postojati	Vmn
i	i	Cc
na	na	Sa
odluku	odluka	Ncfsa
suda	sud	Ncmsg
da	da	Cs
se	sebe	Px--sa
pojedine	pojedini	Agpfpny
